date,cash,market_value,equity
2024-09-25,532879.3904544208,2167515.0467071533,2700394.437161574
2024-09-26,532879.3904544208,2109974.526222229,2642853.91667665
2024-09-27,532879.3904544208,2097901.902572632,2630781.2930270527
2024-09-30,532879.3904544208,2089387.8586425781,2622267.249096999
2024-10-01,532879.3904544208,2047345.9954910278,2580225.3859454487
2024-10-04,532879.3904544208,2034799.9955291748,2567679.3859835956
2024-10-07,532879.3904544208,2073357.9446105957,2606237.3350650165
2024-10-08,532879.3904544208,2028744.8282852173,2561624.218739638
2024-10-09,971113.0476129074,1553095.8828430176,2524208.930455925
2024-10-11,971113.0476129074,1479287.919456482,2450400.9670693893
2024-10-14,971113.0476129074,1474097.8978042603,2445210.9454171676
2024-10-15,482138.8233514703,1972479.8549880981,2454618.6783395684
2024-10-16,118.75135871535167,2449878.937515259,2449997.688873974
2024-10-17,118.75135871535167,2472770.903289795,2472889.6546485103
2024-10-18,118.75135871535167,2474382.950325012,2474501.7016837276
2024-10-21,118.75135871535167,2552089.741279602,2552208.4926383174
2024-10-22,118.75135871535167,2563520.0518493652,2563638.8032080806
2024-10-23,118.75135871535167,2568829.811882019,2568948.5632407344
2024-10-24,118.75135871535167,2541081.775657654,2541200.527016369
2024-10-25,118.75135871535167,2596772.9968185425,2596891.748177258
2024-10-28,118.75135871535167,2546815.408416748,2546934.1597754634
2024-10-29,118.75135871535167,2532809.7987060547,2532928.55006477
2024-10-30,118.75135871535167,2578257.3707733154,2578376.122132031
2024-11-01,118.75135871535167,2567504.3293533325,2567623.080712048
2024-11-04,118.75135871535167,2554606.110687256,2554724.862045971
2024-11-05,118.75135871535167,2533876.9081115723,2533995.6594702876
2024-11-06,118.75135871535167,2559703.5327301025,2559822.284088818
2024-11-07,118.75135871535167,2628658.4070510864,2628777.158409802
2024-11-08,118.75135871535167,2622522.394683838,2622641.1460425532
2024-11-11,118.75135871535167,2567496.8890838623,2567615.6404425777
2024-11-12,442852.1953220302,2048610.7558135986,2491462.951135629
2024-11-13,442852.1953220302,2023656.80909729,2466509.0044193203
2024-11-14,442852.1953220302,1994608.6939163208,2437460.889238351
2024-11-15,442852.1953220302,1976649.360206604,2419501.555528634
2024-11-18,442852.1953220302,1960377.8760681152,2403230.0713901455
2024-11-19,65.70297714398475,2415433.520614624,2415499.223591768
2024-11-20,65.70297714398475,2429135.316001892,2429201.0189790362
2024-11-21,65.70297714398475,2453661.982032776,2453727.68500992
2024-11-22,65.70297714398475,2486202.0424957275,2486267.7454728717
2024-11-25,65.70297714398475,2506640.5824661255,2506706.2854432696
2024-11-26,65.70297714398475,2489024.511642456,2489090.2146196
2024-11-27,65.70297714398475,2423670.76638031,2423736.469357454
2024-11-28,1.432598614890594,2420378.66147995,2420380.094078565
2024-11-29,1.432598614890594,2460582.8858337402,2460584.3184323553
2024-12-02,1.432598614890594,2567861.6308517456,2567863.0634503607
2024-12-03,1.432598614890594,2588602.022377014,2588603.454975629
2024-12-04,1.432598614890594,2638033.5990104675,2638035.0316090826
2024-12-05,1.432598614890594,2657577.910900116,2657579.343498731
2024-12-06,1.432598614890594,2645439.926776886,2645441.359375501
2024-12-09,1.432598614890594,2659238.380935669,2659239.813534284
2024-12-10,1.432598614890594,2596599.296607971,2596600.7292065863
2024-12-11,1.432598614890594,2659687.1353912354,2659688.5679898504
2024-12-12,1.432598614890594,2646077.699115753,2646079.1317143682
2024-12-13,1.432598614890594,2653142.56281662,2653143.995415235
2024-12-16,1.432598614890594,2631234.715888977,2631236.148487592
2024-12-17,1.432598614890594,2658701.9888153076,2658703.4214139227
2024-12-18,1.432598614890594,2678718.3793411255,2678719.8119397406
2024-12-19,1.432598614890594,2708728.35049057,2708729.783089185
2024-12-20,1.432598614890594,2599669.0976867676,2599670.5302853826
2024-12-23,1.432598614890594,2610837.125354767,2610838.557953382
2024-12-24,1.432598614890594,2589086.6118888855,2589088.0444875006
2024-12-25,1.432598614890594,2607386.17899704,2607387.611595655
2024-12-26,1.432598614890594,2610081.132320404,2610082.564919019
2024-12-27,1.432598614890594,2596871.2889709473,2596872.7215695623
2024-12-30,1.432598614890594,2590299.785461426,2590301.218060041
2024-12-31,1.432598614890594,2596735.858291626,2596737.290890241
2025-01-02,1.432598614890594,2559256.6824188232,2559258.1150174383
2025-01-03,1.432598614890594,2572714.941642761,2572716.3742413763
2025-01-06,1.432598614890594,2609394.1178588867,2609395.550457502
2025-01-07,1.432598614890594,2624415.0053596497,2624416.4379582647
2025-01-08,1.432598614890594,2607302.423664093,2607303.856262708
2025-01-09,1.432598614890594,2561406.031894684,2561407.464493299
2025-01-10,1.432598614890594,2572269.8738708496,2572271.3064694647
2025-01-13,1.432598614890594,2490282.94562912,2490284.378227735
2025-01-14,1.432598614890594,2516600.768135071,2516602.200733686
2025-01-15,1.432598614890594,2449691.044921875,2449692.47752049
2025-01-16,1.432598614890594,2504378.8600769043,2504380.2926755194
2025-01-17,516585.05139517103,1975826.8707809448,2492411.9221761157
2025-01-20,516585.05139517103,2018504.4822235107,2535089.5336186816
2025-01-21,516585.05139517103,2010292.6170539856,2526877.6684491565
2025-01-22,516585.05139517103,2048924.9608459473,2565510.012241118
2025-02-03,516585.05139517103,1955759.8708992004,2472344.9222943713
2025-02-04,516585.05139517103,1971892.9777488708,2488478.0291440417
2025-02-05,516585.05139517103,1997598.9652633667,2514184.0166585376
2025-02-06,516585.05139517103,2011956.16065979,2528541.212054961
2025-02-07,516585.05139517103,2039118.7024879456,2555703.7538831164
2025-02-10,516585.05139517103,2041788.155090332,2558373.206485503
2025-02-11,516585.05139517103,2049157.9801063538,2565743.0315015246
2025-02-12,516585.05139517103,2055561.9997940063,2572147.051189177
2025-02-13,516585.05139517103,2044641.685848236,2561226.737243407
2025-02-14,516585.05139517103,2003891.0831832886,2520476.1345784594
2025-02-17,516585.05139517103,2014855.1448554993,2531440.19625067
2025-02-18,516585.05139517103,2038093.1561927795,2554678.2075879504
2025-02-19,516585.05139517103,2035251.5652618408,2551836.6166570117
2025-02-20,516585.05139517103,2042730.4636383057,2559315.5150334765
2025-02-21,516585.05139517103,2051390.703956604,2567975.755351775
2025-02-24,516585.05139517103,2051508.3410949707,2568093.3924901416
2025-02-25,6325.842792961979,2543434.1660499573,2549760.008842919
2025-02-26,6325.842792961979,2562227.763446808,2568553.6062397696
2025-02-27,500401.4530168205,2058739.9347610474,2559141.3877778677
2025-03-03,955795.7184499515,1580849.5550498962,2536645.273499848
2025-03-04,955795.7184499515,1582860.1536827087,2538655.8721326604
2025-03-05,955795.7184499515,1609610.6125297546,2565406.3309797063
2025-03-06,955795.7184499515,1714282.8469810486,2670078.565431
2025-03-07,2690850.123148893,0.0,2690850.123148893
2025-03-10,2690850.123148893,0.0,2690850.123148893
2025-03-11,2690850.123148893,0.0,2690850.123148893
2025-03-12,2690850.123148893,0.0,2690850.123148893
2025-03-13,2690850.123148893,0.0,2690850.123148893
2025-03-14,2690850.123148893,0.0,2690850.123148893
2025-03-17,2690850.123148893,0.0,2690850.123148893
2025-03-18,2690850.123148893,0.0,2690850.123148893
2025-03-19,2690850.123148893,0.0,2690850.123148893
2025-03-20,2690850.123148893,0.0,2690850.123148893
2025-03-21,2690850.123148893,0.0,2690850.123148893
2025-03-24,2690850.123148893,0.0,2690850.123148893
2025-03-25,2690850.123148893,0.0,2690850.123148893
2025-03-26,2690850.123148893,0.0,2690850.123148893
2025-03-27,2690850.123148893,0.0,2690850.123148893
2025-03-28,2690850.123148893,0.0,2690850.123148893
2025-03-31,2690850.123148893,0.0,2690850.123148893
2025-04-01,2690850.123148893,0.0,2690850.123148893
2025-04-02,2690850.123148893,0.0,2690850.123148893
2025-04-07,2690850.123148893,0.0,2690850.123148893
2025-04-08,2690850.123148893,0.0,2690850.123148893
2025-04-09,2690850.123148893,0.0,2690850.123148893
2025-04-10,2690850.123148893,0.0,2690850.123148893
2025-04-11,2690850.123148893,0.0,2690850.123148893
2025-04-14,2690850.123148893,0.0,2690850.123148893
2025-04-15,2690850.123148893,0.0,2690850.123148893
2025-04-16,2690850.123148893,0.0,2690850.123148893
2025-04-17,2690850.123148893,0.0,2690850.123148893
2025-04-18,2690850.123148893,0.0,2690850.123148893
2025-04-21,2690850.123148893,0.0,2690850.123148893
2025-04-22,2690850.123148893,0.0,2690850.123148893
2025-04-23,2690850.123148893,0.0,2690850.123148893
2025-04-24,2690850.123148893,0.0,2690850.123148893
2025-04-25,2690850.123148893,0.0,2690850.123148893
2025-04-28,2690850.123148893,0.0,2690850.123148893
2025-04-29,2690850.123148893,0.0,2690850.123148893
2025-04-30,2690850.123148893,0.0,2690850.123148893
2025-05-02,2690850.123148893,0.0,2690850.123148893
2025-05-05,2690850.123148893,0.0,2690850.123148893
2025-05-06,2690850.123148893,0.0,2690850.123148893
2025-05-07,2690850.123148893,0.0,2690850.123148893
2025-05-08,2690850.123148893,0.0,2690850.123148893
2025-05-09,2690850.123148893,0.0,2690850.123148893
2025-05-12,2690850.123148893,0.0,2690850.123148893
2025-05-13,2690850.123148893,0.0,2690850.123148893
2025-05-14,2690850.123148893,0.0,2690850.123148893
2025-05-15,2690850.123148893,0.0,2690850.123148893
2025-05-16,2690850.123148893,0.0,2690850.123148893
2025-05-19,2690850.123148893,0.0,2690850.123148893
2025-05-20,2690850.123148893,0.0,2690850.123148893
2025-05-21,2690850.123148893,0.0,2690850.123148893
2025-05-22,2690850.123148893,0.0,2690850.123148893
2025-05-23,2690850.123148893,0.0,2690850.123148893
2025-05-26,2690850.123148893,0.0,2690850.123148893
2025-05-27,2690850.123148893,0.0,2690850.123148893
2025-05-28,2690850.123148893,0.0,2690850.123148893
2025-05-29,2152867.152031333,545119.1685180664,2697986.3205493996
2025-06-02,2152867.152031333,519804.0021972656,2672671.154228599
2025-06-03,1085885.695106445,1581749.9294433594,2667635.6245498043
2025-06-04,21196.164210102987,2636991.8840942383,2658188.0483043413
2025-06-05,21196.164210102987,2660776.176208496,2681972.340418599
2025-06-06,494540.8525594794,2118465.40826416,2613006.2608236396
2025-06-09,494540.8525594794,2196040.903503418,2690581.7560628974
2025-06-10,494540.8525594794,2237840.5993652344,2732381.451924714
2025-06-11,494540.8525594794,2279694.79095459,2774235.6435140693
2025-06-12,494540.8525594794,2291978.3560180664,2786519.208577546
2025-06-13,494540.8525594794,2296576.4931030273,2791117.3456625068
2025-06-16,494540.8525594794,2305081.0911865234,2799621.943746003
2025-06-17,494540.8525594794,2328553.020751953,2823093.8733114325
2025-06-18,494540.8525594794,2333420.155944824,2827961.0085043036
2025-06-19,494540.8525594794,2342739.2373046875,2837280.089864167
2025-06-20,91.97111955180299,2813303.1666259766,2813395.1377455285
2025-06-23,91.97111955180299,2823835.6901245117,2823927.6612440636
2025-06-24,91.97111955180299,2886756.1700439453,2886848.141163497
2025-06-25,91.97111955180299,2910348.286682129,2910440.257801681
2025-06-26,91.97111955180299,2930827.303527832,2930919.274647384
2025-06-27,91.97111955180299,2958245.1275634766,2958337.0986830285
2025-06-30,91.97111955180299,2985309.1126708984,2985401.0837904504
2025-07-01,91.97111955180299,2970992.12890625,2971084.100025802
2025-07-02,91.97111955180299,2925559.4528808594,2925651.4240004113
2025-07-03,91.97111955180299,2931397.7094726562,2931489.680592208
2025-07-04,91.97111955180299,2862725.3615722656,2862817.3326918175
2025-07-07,91.97111955180299,2858488.197631836,2858580.168751388
2025-07-08,91.97111955180299,2900106.010040283,2900197.981159835
2025-07-09,91.97111955180299,2938585.965698242,2938677.936817794
2025-07-10,91.97111955180299,2913480.176147461,2913572.147267013
2025-07-11,91.97111955180299,2905356.5262145996,2905448.4973341515
2025-07-14,91.97111955180299,2839118.530303955,2839210.501423507
2025-07-15,91.97111955180299,2907933.713531494,2908025.684651046
2025-07-16,91.97111955180299,2963947.770843506,2964039.741963058
2025-07-17,91.97111955180299,3006133.1860046387,3006225.1571241906
